student_id,year,day,attendance,engagement_score,difficulty,country,gender,education_level,accepted,has_disability,disability_type,completion,satisfaction,self_reported_learning,final_survey_missing
2024_256,2024,8,1,3.09,2,Kenya,female,phd,1,1,cognitive,1.0,3.48,2.88,0
2025_591,2025,2,1,2.85,2,Kenya,male,masters,1,0,none,0.0,2.33,2.69,0
2024_986,2024,3,1,4.57,4,Germany,male,undergrad,1,0,none,0.0,3.3,2.61,0
2024_1038,2024,5,1,2.86,2,India,non_binary,masters,1,0,none,1.0,3.58,3.18,0
2025_1096,2025,4,1,1.52,3,Kenya,female,phd,1,0,none,0.0,3.42,3.11,0
2024_934,2024,4,1,2.73,3,Peru,male,undergrad,1,0,none,0.0,2.0,2.7,0
2025_571,2025,5,1,2.57,4,Brazil,non_binary,phd,1,1,visual,1.0,4.42,5.0,0
2025_1162,2025,1,1,4.38,3,Brazil,non_binary,phd,1,0,none,1.0,3.76,3.83,0
2024_1013,2024,8,1,2.77,4,USA,female,phd,1,0,none,1.0,3.89,4.21,0
2024_131,2024,9,1,4.66,3,UK,non_binary,masters,1,0,none,1.0,4.01,5.0,0
2025_798,2025,9,1,4.96,3,Brazil,non_binary,undergrad,1,1,prefer_not_to_say,1.0,4.49,5.0,0
2025_23,2025,1,1,2.93,3,Kenya,female,phd,1,1,visual,0.0,2.95,2.69,0
2024_806,2024,14,1,3.31,3,UK,female,masters,1,0,none,1.0,4.79,4.36,0
2025_320,2025,3,1,1.6,3,Peru,male,masters,1,0,none,1.0,4.69,5.0,0
2024_499,2024,1,1,4.53,3,USA,non_binary,phd,1,0,none,0.0,2.98,4.02,0
2024_920,2024,9,1,4.0,4,Brazil,male,phd,1,0,none,1.0,4.23,4.49,0
2025_1130,2025,2,1,4.69,3,India,female,masters,1,1,hearing,1.0,4.49,5.0,0
2024_863,2024,9,1,2.51,2,Peru,male,phd,1,0,none,1.0,4.0,3.95,0
2024_47,2024,3,1,4.3,3,Germany,non_binary,phd,1,0,none,0.0,3.35,2.05,0
2024_393,2024,1,1,2.86,3,India,non_binary,phd,1,0,none,0.0,0.0,0.0,1
2025_917,2025,4,1,4.01,3,UK,female,phd,1,1,multiple,0.0,4.1,3.72,0
2025_476,2025,3,1,2.4,4,Peru,male,undergrad,1,0,none,0.0,0.0,0.0,1
2024_968,2024,2,1,1.78,3,Brazil,non_binary,phd,1,1,cognitive,0.0,3.64,2.92,0
2024_678,2024,4,1,3.4,3,USA,male,phd,1,0,none,1.0,3.17,3.99,0
2025_238,2025,3,1,3.89,3,Peru,female,phd,1,0,none,0.0,2.32,2.47,0
2025_1161,2025,5,1,4.34,3,Germany,male,phd,1,0,none,1.0,3.8,3.28,0
2025_1149,2025,3,1,4.98,4,Peru,non_binary,phd,1,1,prefer_not_to_say,0.0,3.6,2.85,0
2024_646,2024,3,1,3.19,2,Germany,non_binary,masters,1,1,visual,0.0,3.76,3.83,0
2025_340,2025,7,1,3.68,2,Germany,non_binary,undergrad,1,0,none,0.0,3.2,2.2,0
2025_991,2025,9,1,2.0,2,UK,male,undergrad,1,1,multiple,1.0,3.72,3.8,0
2024_400,2024,3,1,3.59,3,Brazil,female,phd,1,0,none,0.0,2.89,4.02,0
2024_719,2024,6,1,2.06,3,Peru,non_binary,phd,1,1,hearing,1.0,5.0,5.0,0
2025_729,2025,7,1,3.68,4,Brazil,non_binary,masters,1,0,none,1.0,4.84,4.6,0
2025_246,2025,5,1,3.51,2,UK,male,masters,1,0,none,0.0,3.47,3.24,0
2024_71,2024,14,1,3.35,2,India,female,undergrad,1,0,none,1.0,4.41,4.56,0
2025_896,2025,6,1,2.97,2,Brazil,non_binary,masters,1,0,none,1.0,3.64,3.25,0
2025_1109,2025,3,1,4.29,4,Brazil,male,masters,1,1,multiple,1.0,4.85,4.21,0
2024_606,2024,1,1,4.64,4,UK,male,phd,1,0,none,0.0,2.4,2.6,0
2025_1164,2025,8,1,3.29,2,Kenya,female,undergrad,1,0,none,1.0,4.8,3.78,0
2024_438,2024,2,1,3.14,4,Kenya,male,masters,1,0,none,1.0,4.31,3.64,0
2024_1024,2024,4,1,5.0,4,UK,female,undergrad,1,0,none,1.0,3.62,3.29,0
2025_1035,2025,3,1,5.0,2,Germany,non_binary,undergrad,1,0,none,0.0,0.0,0.0,1
2025_395,2025,6,1,3.52,3,Brazil,male,masters,1,0,none,1.0,3.7,3.18,0
2025_445,2025,6,1,3.58,4,Brazil,non_binary,masters,1,0,none,0.0,3.43,4.17,0
2024_605,2024,6,1,5.0,2,Kenya,male,phd,1,0,none,1.0,3.34,3.66,0
2024_1187,2024,1,1,3.32,4,USA,male,undergrad,1,0,none,0.0,2.18,3.1,0
2024_539,2024,1,1,5.0,2,Germany,male,undergrad,1,0,none,0.0,2.35,2.06,0
2024_947,2024,8,1,4.51,4,Brazil,male,phd,1,0,none,1.0,4.01,4.59,0
2024_482,2024,1,1,1.91,2,UK,non_binary,masters,1,0,none,0.0,3.03,3.83,0
2024_714,2024,3,1,3.77,2,Germany,male,phd,1,0,none,1.0,4.04,3.43,0
2024_409,2024,4,1,4.6,4,USA,male,undergrad,1,0,none,0.0,3.14,3.99,0
2025_712,2025,1,1,2.77,3,Peru,female,phd,1,0,none,1.0,3.42,4.06,0
2025_798,2025,11,1,3.89,2,Brazil,non_binary,undergrad,1,1,prefer_not_to_say,1.0,4.49,5.0,0
2024_882,2024,8,1,1.95,4,Peru,non_binary,masters,1,0,none,1.0,3.94,3.07,0
2025_5,2025,5,1,3.45,3,Kenya,male,phd,1,1,hearing,1.0,3.82,2.61,0
2024_210,2024,5,1,3.34,3,India,male,phd,1,0,none,0.0,3.14,3.3,0
2024_1025,2024,10,1,3.44,3,UK,non_binary,phd,1,0,none,1.0,4.59,3.61,0
2024_1060,2024,1,1,3.67,3,Peru,male,masters,1,1,hearing,1.0,4.08,2.99,0
2024_358,2024,1,1,3.6,2,UK,female,undergrad,1,1,visual,1.0,4.09,3.3,0
2025_619,2025,5,1,2.75,2,UK,non_binary,phd,1,0,none,1.0,4.58,3.75,0
2025_460,2025,1,1,2.78,2,USA,male,phd,1,1,cognitive,0.0,2.68,2.23,0
2024_588,2024,7,1,3.69,4,Peru,male,undergrad,1,0,none,1.0,4.7,4.7,0
2024_561,2024,6,1,2.95,4,Peru,male,undergrad,1,0,none,1.0,4.68,4.39,0
2025_259,2025,5,1,4.84,4,UK,male,masters,1,0,none,1.0,3.79,5.0,0
2024_1105,2024,5,1,3.56,3,India,female,masters,1,0,none,0.0,3.85,2.09,0
2025_1163,2025,6,1,3.7,3,Germany,female,masters,1,0,none,1.0,3.88,3.36,0
2024_249,2024,15,1,1.71,2,Brazil,female,undergrad,1,1,multiple,1.0,5.0,5.0,0
2025_962,2025,3,1,4.21,2,Peru,female,undergrad,1,0,none,1.0,3.39,4.01,0
2025_807,2025,1,1,3.85,2,Germany,male,masters,1,0,none,0.0,4.04,3.77,0
2025_969,2025,3,1,2.46,2,Kenya,female,masters,1,0,none,1.0,4.18,4.06,0
2024_703,2024,1,1,3.65,4,Germany,non_binary,phd,1,0,none,0.0,1.85,2.83,0
2024_125,2024,3,1,3.82,3,Germany,non_binary,phd,1,0,none,0.0,3.35,3.63,0
2024_183,2024,1,1,2.38,2,Brazil,male,undergrad,1,0,none,0.0,3.04,1.0,0
2025_217,2025,7,1,4.93,3,USA,female,masters,1,0,none,1.0,3.17,3.93,0
2024_829,2024,7,1,3.24,4,Brazil,male,phd,1,1,visual,0.0,3.75,3.45,0
2024_1152,2024,1,1,3.54,2,USA,male,phd,1,0,none,0.0,2.61,2.77,0
2025_525,2025,1,1,3.68,3,Germany,male,phd,1,1,motor,0.0,2.5,2.36,0
2024_1079,2024,4,1,4.45,3,Peru,female,undergrad,1,0,none,1.0,4.07,2.92,0
2025_1115,2025,4,1,4.38,4,UK,non_binary,phd,1,0,none,1.0,4.46,3.83,0
2024_594,2024,7,1,4.29,2,Kenya,non_binary,undergrad,1,0,none,1.0,3.37,3.75,0
2024_1057,2024,3,1,4.18,2,UK,female,undergrad,1,1,cognitive,0.0,2.23,2.3,0
2024_382,2024,9,1,4.63,4,Germany,female,phd,1,0,none,1.0,4.32,4.8,0
2025_798,2025,12,1,4.51,4,Brazil,non_binary,undergrad,1,1,prefer_not_to_say,1.0,4.49,5.0,0
2024_591,2024,2,1,2.61,3,UK,non_binary,phd,1,0,none,1.0,3.98,4.22,0
2024_395,2024,1,1,1.46,2,Kenya,non_binary,phd,1,1,prefer_not_to_say,1.0,4.26,3.6,0
2024_295,2024,10,1,4.42,3,Peru,male,masters,1,0,none,1.0,4.21,5.0,0
2024_589,2024,9,1,3.61,2,Brazil,female,undergrad,1,0,none,1.0,3.59,3.27,0
2024_738,2024,5,1,3.09,3,UK,male,masters,1,0,none,0.0,2.84,2.79,0
2025_5,2025,10,1,2.6,4,Kenya,male,phd,1,1,hearing,1.0,3.82,2.61,0
2024_862,2024,6,1,1.56,4,USA,female,undergrad,1,0,none,0.0,2.83,3.02,0
2025_196,2025,5,1,2.96,3,Brazil,female,phd,1,0,none,1.0,3.76,3.67,0
2024_77,2024,11,1,2.67,2,Germany,male,masters,1,1,hearing,1.0,5.0,5.0,0
2025_162,2025,2,1,4.66,3,Kenya,female,undergrad,1,0,none,1.0,4.66,4.59,0
2025_545,2025,4,1,3.19,2,Germany,female,undergrad,1,0,none,1.0,4.87,5.0,0
2024_281,2024,6,1,3.12,4,Germany,male,undergrad,1,1,multiple,0.0,3.83,3.13,0
2025_934,2025,8,1,4.02,2,Kenya,female,undergrad,1,0,none,0.0,0.0,0.0,1
2025_333,2025,4,1,2.88,3,Kenya,male,masters,1,0,none,0.0,0.0,0.0,1
2025_178,2025,2,1,2.9,4,India,male,masters,1,0,none,1.0,3.73,5.0,0
2024_751,2024,7,1,3.06,4,Brazil,non_binary,undergrad,1,1,motor,1.0,3.88,3.82,0
2025_302,2025,6,1,2.32,2,Germany,female,phd,1,1,multiple,1.0,4.27,4.16,0
2024_34,2024,7,1,2.96,4,Brazil,male,phd,1,0,none,1.0,4.05,3.06,0
2025_992,2025,7,1,4.54,3,Brazil,female,phd,1,0,none,1.0,3.74,4.81,0
2025_788,2025,6,1,2.99,3,India,non_binary,phd,1,1,hearing,1.0,3.98,3.69,0
2025_552,2025,11,1,3.65,3,Kenya,male,phd,1,0,none,0.0,0.0,0.0,1
2024_19,2024,3,1,4.2,3,Brazil,male,phd,1,0,none,1.0,4.45,4.12,0
2025_569,2025,6,1,2.77,4,Brazil,male,phd,1,1,cognitive,0.0,3.18,2.75,0
2025_118,2025,6,1,2.92,2,UK,non_binary,masters,1,1,cognitive,1.0,5.0,4.9,0
2025_181,2025,11,1,3.87,2,USA,non_binary,undergrad,1,0,none,1.0,3.71,4.39,0
2025_1024,2025,6,1,3.27,3,Peru,male,phd,1,0,none,1.0,4.13,4.08,0
2024_1185,2024,1,1,3.36,3,Brazil,female,masters,1,0,none,0.0,3.01,2.75,0
2025_760,2025,9,1,1.64,3,USA,non_binary,phd,1,0,none,1.0,5.0,4.57,0
2025_654,2025,4,1,3.35,4,UK,male,phd,1,1,cognitive,1.0,5.0,5.0,0
2025_569,2025,3,1,4.97,4,Brazil,male,phd,1,1,cognitive,0.0,3.18,2.75,0
2025_448,2025,14,1,2.83,2,Germany,female,undergrad,1,0,none,1.0,4.85,5.0,0
2025_908,2025,5,1,4.52,4,Kenya,female,undergrad,1,1,multiple,0.0,3.33,3.39,0
2024_154,2024,8,1,3.25,3,Brazil,male,phd,1,1,motor,1.0,3.11,2.14,0
2024_497,2024,2,1,2.69,2,UK,male,undergrad,1,0,none,1.0,5.0,4.82,0
2024_1156,2024,3,1,5.0,2,Peru,female,undergrad,1,0,none,1.0,4.34,3.57,0
2024_886,2024,3,1,3.7,2,Kenya,male,undergrad,1,1,hearing,0.0,3.12,2.87,0
2024_1130,2024,13,1,3.4,2,USA,male,phd,1,1,cognitive,1.0,3.96,2.52,0
2025_536,2025,1,1,4.12,4,Germany,male,masters,1,0,none,1.0,4.08,5.0,0
2024_881,2024,7,1,2.44,4,UK,female,phd,1,0,none,0.0,4.11,3.82,0
2025_1125,2025,11,1,3.06,3,Peru,female,masters,1,0,none,1.0,3.81,4.84,0
2025_1027,2025,2,1,3.31,4,UK,male,undergrad,1,0,none,0.0,2.36,2.07,0
2024_671,2024,8,1,3.06,2,USA,non_binary,masters,1,0,none,0.0,3.23,3.79,0
2024_421,2024,9,1,3.84,2,Brazil,female,undergrad,1,0,none,1.0,4.09,4.22,0
2025_1110,2025,9,1,2.76,3,USA,female,masters,1,0,none,1.0,3.41,3.68,0
2025_162,2025,3,1,1.67,2,Kenya,female,undergrad,1,0,none,1.0,4.66,4.59,0
2025_531,2025,12,1,3.76,2,India,non_binary,masters,1,0,none,1.0,4.28,5.0,0
2025_893,2025,3,1,2.98,3,India,female,phd,1,0,none,1.0,4.84,5.0,0
2025_704,2025,6,1,2.21,3,Brazil,female,undergrad,1,1,hearing,0.0,3.14,2.55,0
2024_1126,2024,7,1,2.65,3,USA,female,phd,1,0,none,1.0,4.66,2.75,0
2024_824,2024,12,1,4.35,4,Brazil,female,masters,1,0,none,1.0,4.79,5.0,0
2025_75,2025,8,1,1.78,2,India,male,phd,1,1,multiple,1.0,3.9,5.0,0
2025_99,2025,2,1,3.94,4,USA,male,phd,1,0,none,0.0,2.21,4.11,0
2024_851,2024,5,1,3.38,4,India,male,masters,1,0,none,0.0,3.22,3.06,0
2025_287,2025,5,1,3.53,3,Brazil,non_binary,phd,1,0,none,1.0,3.97,3.19,0
2025_874,2025,1,1,3.6,2,Peru,non_binary,phd,1,1,hearing,0.0,4.09,3.64,0
2025_329,2025,2,1,3.25,3,Kenya,non_binary,undergrad,1,0,none,0.0,2.07,2.82,0
2024_953,2024,3,1,2.98,4,Kenya,non_binary,phd,1,0,none,0.0,3.55,3.66,0
2024_105,2024,15,1,4.22,2,Kenya,non_binary,undergrad,1,0,none,1.0,4.95,4.34,0
2025_1193,2025,1,1,1.53,2,Germany,female,masters,1,0,none,0.0,0.0,0.0,1
2024_793,2024,11,1,2.22,4,Kenya,female,phd,1,1,multiple,1.0,4.56,5.0,0
2025_659,2025,6,1,3.79,4,India,non_binary,masters,1,0,none,1.0,5.0,4.77,0
