student_id,year,country,gender,education_level,accepted,has_disability,disability_type
2024_0,2024,Kenya,non_binary,phd,1,0,none
2024_1,2024,India,non_binary,phd,0,0,none
2024_2,2024,Germany,non_binary,masters,0,1,motor
2024_3,2024,Peru,female,masters,0,0,none
2024_4,2024,Germany,female,masters,0,0,none
2024_5,2024,Brazil,female,phd,1,0,none
2024_6,2024,Brazil,male,phd,1,1,visual
2024_7,2024,US,male,masters,1,0,none
2024_8,2024,Kenya,female,phd,1,0,none
2024_9,2024,United Kingdom,male,masters,1,0,none
2024_10,2024,Peru,female,masters,1,0,none
2024_11,2024,India,female,masters,1,0,none
2024_12,2024,UK,female,phd,1,1,cognitive
2024_13,2024,Kenya,male,masters,1,1,multiple
2024_14,2024,USA,male,undergrad,0,0,none
2024_15,2024,USA,male,phd,1,0,none
2024_16,2024,Brazil,non_binary,undergrad,1,0,none
2024_17,2024,Germany,non_binary,undergrad,1,0,none
2024_18,2024,UK,male,phd,1,0,none
2024_19,2024,Brazil,male,phd,1,0,none
2024_20,2024,India,non_binary,phd,0,1,visual
2024_21,2024,UK,female,undergrad,0,0,none
2024_22,2024,USA,female,undergrad,0,1,cognitive
2024_23,2024,Brazil,male,phd,0,0,none
2024_24,2024,India,female,undergrad,0,0,none
2024_25,2024,Germany,female,masters,1,0,none
2024_26,2024,Germany,male,phd,1,1,hearing
2024_27,2024,Brazil,male,undergrad,1,0,none
2024_28,2024,Brazil,male,undergrad,0,0,none
2024_29,2024,United Kingdom,male,undergrad,0,0,none
2024_30,2024,Germany,female,phd,1,0,none
2024_31,2024,USA,non_binary,undergrad,1,0,none
2024_32,2024,UK,male,undergrad,0,0,none
2024_33,2024,Germany,female,masters,0,0,none
2024_34,2024,Brazil,male,phd,1,0,none
2024_35,2024,India,female,masters,1,0,none
2024_36,2024,United States,female,undergrad,1,0,none
2024_37,2024,Germany,non_binary,masters,1,0,none
2024_38,2024,United Kingdom,male,phd,1,0,none
2024_39,2024,Germany,male,undergrad,0,0,none
2024_40,2024,India,non_binary,phd,1,0,none
2024_41,2024,USA,male,masters,1,1,hearing
2024_42,2024,Kenya,male,phd,0,1,multiple
2024_43,2024,Brazil,non_binary,masters,1,0,none
2024_44,2024,Brazil,female,masters,0,0,none
2024_45,2024,Brazil,female,masters,1,0,none
2024_46,2024,Kenya,male,undergrad,0,0,none
2024_47,2024,Germany,non_binary,phd,1,0,none
2024_48,2024,Germany,non_binary,phd,1,0,none
2024_49,2024,Peru,female,masters,1,0,none
2024_50,2024,Brazil,male,masters,1,1,cognitive
2024_51,2024,United States,non_binary,phd,1,0,none
2024_52,2024,Germany,female,undergrad,0,0,none
2024_53,2024,Germany,male,undergrad,1,1,cognitive
2024_54,2024,Kenya,non_binary,phd,1,0,none
2024_55,2024,Kenya,male,phd,0,0,none
2024_56,2024,India,male,masters,1,0,none
2024_57,2024,Peru,female,phd,1,0,none
2024_58,2024,Brazil,female,undergrad,1,0,none
2024_59,2024,Peru,non_binary,undergrad,0,0,none
2024_60,2024,India,male,undergrad,0,0,none
2024_61,2024,Germany,male,undergrad,0,0,none
2024_62,2024,Peru,non_binary,phd,0,0,none
2024_63,2024,UK,non_binary,undergrad,0,0,none
2024_64,2024,Peru,female,masters,0,1,prefer_not_to_say
2024_65,2024,Peru,non_binary,masters,1,0,none
2024_66,2024,Kenya,male,phd,0,0,none
2024_67,2024,Germany,female,phd,1,0,none
2024_68,2024,Kenya,female,masters,1,0,none
2024_69,2024,UK,female,phd,0,1,visual
2024_70,2024,Peru,non_binary,phd,1,0,none
2024_71,2024,India,female,undergrad,1,0,none
2024_72,2024,Peru,male,undergrad,0,0,none
2024_73,2024,UK,male,masters,1,1,multiple
2024_74,2024,India,non_binary,undergrad,0,0,none
2024_75,2024,Germany,male,phd,0,0,none
2024_76,2024,Germany,male,masters,1,1,motor
2024_77,2024,Germany,male,masters,1,1,hearing
2024_78,2024,India,female,undergrad,1,0,none
2024_79,2024,India,female,phd,1,0,none
2024_80,2024,Kenya,male,phd,1,1,motor
2024_81,2024,Brazil,female,phd,1,1,motor
2024_82,2024,Brazil,non_binary,undergrad,1,0,none
2024_83,2024,Germany,male,undergrad,0,1,cognitive
2024_84,2024,Kenya,non_binary,masters,1,0,none
2024_85,2024,Kenya,female,masters,0,0,none
2024_86,2024,USA,female,undergrad,1,1,hearing
2024_87,2024,Germany,male,undergrad,1,1,cognitive
2024_88,2024,Kenya,male,phd,1,0,none
2024_89,2024,India,male,phd,1,0,none
2024_90,2024,Kenya,male,phd,1,1,motor
2024_91,2024,USA,male,masters,1,1,visual
2024_92,2024,Kenya,non_binary,phd,1,0,none
2024_93,2024,USA,male,phd,1,0,none
2024_94,2024,Germany,non_binary,masters,1,0,none
2024_95,2024,Brazil,non_binary,undergrad,1,0,none
2024_96,2024,United States,female,masters,0,1,visual
2024_97,2024,Kenya,non_binary,phd,1,0,none
2024_98,2024,United Kingdom,female,masters,1,0,none
2024_99,2024,UK,female,undergrad,1,0,none
2024_100,2024,Kenya,male,undergrad,0,0,none
2024_101,2024,Kenya,male,masters,1,0,none
2024_102,2024,USA,female,phd,1,1,multiple
2024_103,2024,UK,female,phd,0,0,none
2024_104,2024,Kenya,female,masters,0,0,none
2024_105,2024,Kenya,non_binary,undergrad,1,0,none
2024_106,2024,Germany,female,undergrad,1,0,none
2024_107,2024,USA,female,masters,0,0,none
2024_108,2024,Kenya,non_binary,undergrad,0,1,multiple
2024_109,2024,Germany,male,phd,1,1,cognitive
2024_110,2024,UK,female,phd,1,0,none
2024_111,2024,Peru,non_binary,phd,0,0,none
2024_112,2024,Peru,male,masters,0,0,none
2024_113,2024,India,female,undergrad,1,0,none
2024_114,2024,Peru,non_binary,undergrad,0,1,prefer_not_to_say
2024_115,2024,Kenya,male,undergrad,1,0,none
2024_116,2024,India,non_binary,undergrad,1,1,hearing
2024_117,2024,Peru,female,phd,0,0,none
2024_118,2024,USA,female,phd,0,0,none
2024_119,2024,UK,non_binary,phd,1,0,none
2024_120,2024,USA,male,undergrad,0,0,none
2024_121,2024,USA,male,masters,1,1,motor
2024_122,2024,Kenya,male,masters,1,0,none
2024_123,2024,Peru,male,masters,0,0,none
2024_124,2024,Germany,female,undergrad,1,0,none
2024_125,2024,Germany,non_binary,phd,1,0,none
2024_126,2024,Peru,non_binary,phd,1,0,none
2024_127,2024,Germany,male,masters,1,1,hearing
2024_128,2024,United Kingdom,non_binary,undergrad,1,0,none
2024_129,2024,Brazil,female,masters,1,0,none
2024_130,2024,UK,non_binary,masters,1,0,none
2024_131,2024,UK,non_binary,masters,1,0,none
2024_132,2024,Germany,female,undergrad,1,1,multiple
2024_133,2024,Kenya,female,masters,1,0,none
2024_134,2024,Brazil,non_binary,phd,1,0,none
2024_135,2024,UK,male,phd,1,0,none
2024_136,2024,India,male,masters,0,0,none
2024_137,2024,India,female,undergrad,0,1,hearing
2024_138,2024,Kenya,male,masters,1,0,none
2024_139,2024,India,male,phd,0,0,none
2024_140,2024,USA,female,phd,1,1,visual
2024_141,2024,India,male,undergrad,1,0,none
2024_142,2024,UK,female,masters,1,1,prefer_not_to_say
2024_143,2024,India,male,masters,0,0,none
2024_144,2024,UK,non_binary,masters,1,0,none
2024_145,2024,India,female,masters,1,0,none
2024_146,2024,USA,female,phd,1,0,none
2024_147,2024,India,female,undergrad,1,0,none
2024_148,2024,Germany,female,phd,1,0,none
2024_149,2024,Germany,non_binary,masters,1,0,none
2024_150,2024,USA,female,undergrad,1,0,none
2024_151,2024,India,non_binary,phd,1,1,cognitive
2024_152,2024,United States,female,masters,0,0,none
2024_153,2024,Brasil,female,phd,0,0,none
2024_154,2024,Brazil,male,phd,1,1,motor
2024_155,2024,Brazil,female,masters,0,0,none
2024_156,2024,Brazil,female,phd,1,0,none
2024_157,2024,Kenya,male,masters,1,0,none
2024_158,2024,Germany,male,undergrad,1,0,none
2024_159,2024,Peru,female,undergrad,1,0,none
2024_160,2024,Kenya,non_binary,phd,0,1,cognitive
2024_161,2024,India,male,phd,1,0,none
2024_162,2024,India,male,phd,1,0,none
2024_163,2024,Brazil,female,phd,1,1,visual
2024_164,2024,Kenya,female,masters,0,0,none
2024_165,2024,USA,non_binary,phd,1,0,none
2024_166,2024,Germany,male,phd,1,0,none
2024_167,2024,Peru,non_binary,undergrad,0,0,none
2024_168,2024,Peru,female,masters,1,0,none
2024_169,2024,USA,non_binary,masters,1,1,motor
