student_id,year,day,attendance,engagement_score,difficulty
2024_256,2024,8,1,3.09,2
2025_591,2025,2,1,2.85,2
2024_986,2024,3,1,4.57,4
2024_1038,2024,5,1,2.86,2
2025_1096,2025,4,1,1.52,3
2024_934,2024,4,1,2.73,3
2025_571,2025,5,1,2.57,4
2025_1162,2025,1,1,4.38,3
2024_1013,2024,8,1,2.77,4
2024_131,2024,9,1,4.66,3
2025_798,2025,9,1,4.96,3
2025_23,2025,1,1,2.93,3
2024_806,2024,14,1,3.31,3
2025_320,2025,3,1,1.6,3
2024_499,2024,1,1,4.53,3
2024_920,2024,9,1,4.0,4
2025_1130,2025,2,1,4.69,3
2024_863,2024,9,1,2.51,2
2024_47,2024,3,1,4.3,3
2024_393,2024,1,1,2.86,3
2025_917,2025,4,1,4.01,3
2025_476,2025,3,1,2.4,4
2024_968,2024,2,1,1.78,3
2024_678,2024,4,1,3.4,3
2025_238,2025,3,1,3.89,3
2025_1161,2025,5,1,4.34,3
2025_1149,2025,3,1,4.98,4
2024_646,2024,3,1,3.19,2
2025_340,2025,7,1,3.68,2
2025_991,2025,9,1,2.0,2
2024_400,2024,3,1,3.59,3
2024_719,2024,6,1,2.06,3
2025_729,2025,7,1,3.68,4
2025_246,2025,5,1,3.51,2
2024_71,2024,14,1,3.35,2
2025_896,2025,6,1,2.97,2
2025_1109,2025,3,1,4.29,4
2024_606,2024,1,1,4.64,4
2025_1164,2025,8,1,3.29,2
2024_438,2024,2,1,3.14,4
2024_1024,2024,4,1,5.0,4
2025_1035,2025,3,1,5.0,2
2025_395,2025,6,1,3.52,3
2025_445,2025,6,1,3.58,4
2024_605,2024,6,1,5.0,2
2024_1187,2024,1,1,3.32,4
2024_539,2024,1,1,5.0,2
2024_947,2024,8,1,4.51,4
2024_482,2024,1,1,1.91,2
2024_714,2024,3,1,3.77,2
2024_409,2024,4,1,4.6,4
2025_712,2025,1,1,2.77,3
2025_798,2025,11,1,3.89,2
2024_882,2024,8,1,1.95,4
2025_5,2025,5,1,3.45,3
2024_210,2024,5,1,3.34,3
2024_1025,2024,10,1,3.44,3
2024_1060,2024,1,1,3.67,3
2024_358,2024,1,1,3.6,2
2025_619,2025,5,1,2.75,2
2025_460,2025,1,1,2.78,2
2024_588,2024,7,1,3.69,4
2024_561,2024,6,1,2.95,4
2025_259,2025,5,1,4.84,4
2024_1105,2024,5,1,3.56,3
2025_1163,2025,6,1,3.7,3
2024_249,2024,15,1,1.71,2
2025_962,2025,3,1,4.21,2
2025_807,2025,1,1,3.85,2
2025_969,2025,3,1,2.46,2
2024_703,2024,1,1,3.65,4
2024_125,2024,3,1,3.82,3
2024_183,2024,1,1,2.38,2
2025_217,2025,7,1,4.93,3
2024_829,2024,7,1,3.24,4
2024_1152,2024,1,1,3.54,2
2025_525,2025,1,1,3.68,3
2024_1079,2024,4,1,4.45,3
2025_1115,2025,4,1,4.38,4
2024_594,2024,7,1,4.29,2
2024_1057,2024,3,1,4.18,2
2024_382,2024,9,1,4.63,4
2025_798,2025,12,1,4.51,4
2024_591,2024,2,1,2.61,3
2024_590,2024,4,1,0.69,3
2024_395,2024,1,1,1.46,2
2024_295,2024,10,1,4.42,3
2024_589,2024,9,1,3.61,2
2024_738,2024,5,1,3.09,3
2025_5,2025,10,1,2.6,4
2024_862,2024,6,1,1.56,4
2025_196,2025,5,1,2.96,3
2024_77,2024,11,1,2.67,2
2025_162,2025,2,1,4.66,3
2025_545,2025,4,1,3.19,2
2024_281,2024,6,1,3.12,4
