student_id,year,completion,satisfaction,self_reported_learning
2024_814,2024,0,2.09,2.21
2024_267,2024,0,3.38,3.13
2024_651,2024,0,3.61,3.01
2024_34,2024,1,4.05,3.06
2024_405,2024,0,2.79,1.87
2024_403,2024,0,1.8,3.26
2025_515,2025,0,3.27,2.42
2025_67,2025,0,2.37,3.26
2025_59,2025,0,2.82,3.55
2024_769,2024,0,3.51,4.38
2024_554,2024,1,5.0,5.0
2025_924,2025,0,3.35,4.08
2025_545,2025,1,4.87,5.0
2025_952,2025,0,2.83,4.02
2025_92,2025,1,5.0,4.33
2024_962,2024,1,4.18,3.91
2024_7,2024,1,4.14,4.32
2024_248,2024,0,3.25,3.53
2024_487,2024,1,4.08,3.54
2024_395,2024,1,4.26,3.6
2025_404,2025,1,3.15,4.41
2024_508,2024,1,4.79,3.91
2025_1082,2025,0,2.32,2.24
2024_827,2024,1,4.33,3.93
2024_771,2024,0,2.37,2.77
2024_463,2024,0,2.93,3.95
2024_5,2024,0,3.76,2.77
2025_997,2025,0,3.45,2.41
2024_1168,2024,1,3.84,5.0
2024_1100,2024,1,4.0,4.29
2024_299,2024,0,2.83,1.0
2025_1050,2025,0,2.51,1.71
2024_407,2024,0,3.01,3.44
2024_444,2024,0,3.66,2.48
2025_19,2025,0,2.63,1.33
2025_99,2025,0,2.21,4.11
2024_134,2024,0,2.4,3.52
2025_377,2025,1,5.0,4.14
2024_1046,2024,0,3.41,2.87
2025_984,2025,0,3.33,1.87
2024_497,2024,1,5.0,4.82
2025_466,2025,0,3.13,2.81
2025_731,2025,1,5.0,3.93
2024_1047,2024,1,3.72,4.56
2024_609,2024,1,3.94,4.43
2024_977,2024,0,2.59,3.96
2025_1051,2025,0,3.68,4.44
2025_888,2025,0,2.95,3.69
2024_261,2024,1,4.55,4.9
2024_388,2024,0,2.75,2.44
2024_338,2024,0,2.79,4.22
2025_531,2025,1,4.28,5.0
2025_27,2025,0,3.61,2.18
2024_149,2024,1,3.94,3.44
2025_923,2025,1,4.39,4.32
2024_67,2024,1,2.78,3.49
2025_1139,2025,1,4.94,5.0
2024_503,2024,0,3.46,2.85
2024_1096,2024,1,4.45,3.96
2024_512,2024,0,3.01,2.53
2025_88,2025,0,2.48,2.93
2025_200,2025,1,4.74,4.78
2024_591,2024,1,3.98,4.22
2024_1037,2024,1,5.0,5.0
2024_1182,2024,1,4.11,3.71
2024_1049,2024,0,2.91,4.2
2025_729,2025,1,4.84,4.6
2024_490,2024,1,4.45,3.31
2025_672,2025,1,3.61,2.92
2024_249,2024,1,5.0,5.0
2025_217,2025,1,3.17,3.93
2025_509,2025,0,2.97,2.16
2025_892,2025,0,3.85,2.65
2024_144,2024,0,2.91,3.45
2024_570,2024,0,3.08,2.93
2024_94,2024,0,3.66,3.25
2025_130,2025,1,3.85,4.46
2025_1159,2025,0,3.55,4.71
2024_1089,2024,0,3.18,2.95
2024_943,2024,0,3.46,2.55
2024_110,2024,0,2.81,3.5
2024_887,2024,0,2.94,3.74
2025_10,2025,1,4.02,4.89
2025_238,2025,0,2.32,2.47
2024_987,2024,0,3.08,4.0
2025_574,2025,1,4.48,4.65
2025_673,2025,1,3.21,4.56
2025_37,2025,0,2.89,2.76
2024_659,2024,0,2.29,3.4
2025_855,2025,0,2.82,2.92
2025_61,2025,1,4.07,4.18
2025_437,2025,1,3.71,3.08
2025_818,2025,0,1.97,2.09
2024_258,2024,0,3.25,3.04
2024_1135,2024,1,3.9,4.02
2024_48,2024,0,3.16,2.12
2024_391,2024,0,2.83,3.14
2024_283,2024,0,2.19,4.11
2024_629,2024,1,5.0,5.0
